"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",269,4533,21,0,0,"M",0,"M",0,0,0,10930,0,"M",3,"M",4,0,"M",1,"M",0,4002,7415,"L","L",394,0,-125,4694,692,20451,"GF01",2011
"GF0102"," Foreign Economic Aid",20,110,0,0,0,"M",0,"M",0,0,0,5170,0,"M",0,"M",1946,0,"M",1,"M",0,93,234,"L","L",20,0,0,93,0,7339,"GF01",2011
"GF0103"," General Services",33,376,1,0,0,"M",0,"M",0,0,0,86,0,"M",0,"M",49,0,"M",28,"M",0,441,657,"L","L",35,0,-2,441,0,986,"GF01",2011
"GF0104"," Basic Research",3,0,0,0,0,"M",0,"M",0,0,0,11,0,"M",11,"M",0,0,"M",0,"M",0,2,83,"L","L",3,0,0,2,0,16,"GF01",2011
"GF0105"," Research and Development General Public Services",11,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",2,0,"M",0,"M",0,7,23,"L","L",11,0,0,7,0,20,"GF01",2011
"GF0106"," General Public Services not elsewhere classified",5,78,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",30,0,"M",30,"M",0,442,508,"L","L",5,0,0,442,0,555,"GF01",2011
"GF0107"," Public Debt Transactions",0,0,0,53889,0,"M",24,"M",0,0,0,0,0,"M",0,"M",631,0,"M",631,"M",0,87,87,"L","L",0,0,0,87,0,54607,"GF01",2011
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,20572,0,"M",20572,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,20572,"GF01",2011
"GF0201"," Military Defence",8031,12993,0,0,0,"M",0,"M",0,0,0,19,0,"M",0,"M",0,0,"M",0,"M",0,12003,32505,"L","L",7991,0,40,12003,0,33046,"GF02",2011
"GF0202"," Civil Defence",9,20,0,0,0,"M",0,"M",0,0,0,3,0,"M",0,"M",2,0,"M",0,"M",0,57,90,"L","L",9,0,0,57,0,91,"GF02",2011
"GF0203"," Foreign Military Aid",380,286,0,0,0,"M",0,"M",0,0,0,71,0,"M",0,"M",0,0,"M",0,"M",0,3075,3563,"L","L",380,0,0,3075,0,3812,"GF02",2011
"GF0204"," Research and Development Defence",1855,14,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",113,0,"M",0,"M",0,1694,1669,"L","L",1941,0,-86,1694,0,3676,"GF02",2011
"GF0205"," Defence not elsewhere classified",4,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,219,271,"L","L",4,0,0,219,0,223,"GF02",2011
"GF0301"," Police services",448,1645,0,0,0,"M",0,"M",0,0,0,7526,0,"M",7519,"M",189,0,"M",174,"M",0,3091,4626,"L","L",448,0,0,3091,0,12899,"GF03",2011
"GF0302"," Fire protection services",141,70,0,0,0,"M",0,"M",0,0,0,22,0,"M",19,"M",5,0,"M",5,"M",0,66,141,"L","L",141,0,0,66,0,304,"GF03",2011
"GF0303"," Law Courts",380,2841,0,0,0,"M",0,"M",0,0,0,142,0,"M",5,"M",0,0,"M",0,"M",0,5456,7200,"L","L",380,0,0,5456,0,8819,"GF03",2011
"GF0304"," Prisons",123,1946,0,0,0,"M",0,"M",0,0,0,79,0,"M",0,"M",0,0,"M",0,"M",0,2041,4082,"L","L",123,0,0,2041,0,4189,"GF03",2011
"GF0305"," Research and Development public order and safety",29,21,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,27,"L","L",29,0,0,0,0,50,"GF03",2011
"GF0306"," Public order and safety not elsewhere classified",0,147,0,0,0,"M",0,"M",0,0,0,257,0,"M",252,"M",0,0,"M",0,"M",0,482,463,"L","L",0,0,0,482,0,886,"GF03",2011
"GF0401"," General economic, commercial and labour affairs",157,2076,131,0,0,"M",0,"M",0,0,0,814,0,"M",196,"M",1889,0,"M",862,"M",0,2496,2122,"L","L",161,0,-4,2496,0,7563,"GF04",2011
