"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",371,4513,5,0,0,"M",0,"M",0,0,0,13975,0,"M",236,"M",22,0,"M",4,"M",0,3829,7011,"L","L",370,0,1,4654,825,23540,"GF01",2013
"GF0102"," Foreign Economic Aid",14,162,0,0,0,"M",0,"M",0,0,0,7138,0,"M",0,"M",2246,0,"M",0,"M",0,435,627,"L","L",13,0,1,435,0,9995,"GF01",2013
"GF0103"," General Services",41,179,0,0,0,"M",0,"M",0,0,0,3,0,"M",1,"M",0,0,"M",0,"M",0,354,345,"L","L",41,0,0,354,0,577,"GF01",2013
"GF0104"," Basic Research",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,56,"L","L",0,0,0,0,0,0,"GF01",2013
"GF0105"," Research and Development General Public Services",10,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,7,17,"L","L",10,0,0,7,0,17,"GF01",2013
"GF0106"," General Public Services not elsewhere classified",4,93,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",24,0,"M",24,"M",0,409,487,"L","L",4,0,0,409,0,530,"GF01",2013
"GF0107"," Public Debt Transactions",-4,0,0,51159,0,"M",83,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,26,26,"L","L",-4,0,0,26,0,51181,"GF01",2013
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,17448,0,"M",17448,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,17448,"GF01",2013
"GF0201"," Military Defence",7909,12026,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",1,0,"M",0,"M",0,13529,33460,"L","L",8000,0,-91,13529,0,33465,"GF02",2013
"GF0202"," Civil Defence",0,18,0,0,0,"M",0,"M",0,0,0,4,0,"M",0,"M",1,0,"M",0,"M",0,33,59,"L","L",-1,0,1,33,0,56,"GF02",2013
"GF0203"," Foreign Military Aid",28,137,0,0,0,"M",0,"M",0,0,0,59,0,"M",0,"M",0,0,"M",0,"M",0,1423,1778,"L","L",28,0,0,1423,0,1647,"GF02",2013
"GF0204"," Research and Development Defence",1981,24,0,0,0,"M",0,"M",0,0,0,12,0,"M",0,"M",112,0,"M",0,"M",0,1809,2064,"L","L",2039,0,-58,1809,0,3938,"GF02",2013
"GF0205"," Defence not elsewhere classified",3,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,204,256,"L","L",3,0,0,204,0,207,"GF02",2013
"GF0301"," Police services",308,2703,4,0,0,"M",0,"M",0,0,0,8633,0,"M",8587,"M",188,0,"M",171,"M",0,2446,5146,"L","L",299,0,9,2446,0,14282,"GF03",2013
"GF0302"," Fire protection services",5,219,0,0,0,"M",0,"M",0,0,0,483,0,"M",483,"M",93,0,"M",93,"M",0,108,331,"L","L",5,0,0,108,0,908,"GF03",2013
