"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",816,4598,8,0,0,"M",0,"M",0,0,0,13430,0,"M",25,"M",451,0,"M",403,"M",0,3990,6948,"L","L",741,0,75,5297,1307,24600,"GF01",2019,1546300800000.0
"GF0102"," Foreign Economic Aid",8,240,0,0,0,"M",0,"M",0,0,0,7482,0,"M",0,"M",2449,0,"M",0,"M",0,167,425,"L","L",8,0,0,167,0,10346,"GF01",2019,1546300800000.0
"GF0103"," General Services",47,414,1,0,0,"M",0,"M",0,0,0,10,0,"M",0,"M",0,0,"M",0,"M",0,475,691,"L","L",59,0,-12,475,0,947,"GF01",2019,1546300800000.0
"GF0104"," Basic Research",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,16,"L","L",0,0,0,0,0,0,"GF01",2019,1546300800000.0
"GF0105"," Research and Development General Public Services",254,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,58,147,"L","L",254,0,0,58,0,312,"GF01",2019,1546300800000.0
"GF0106"," General Public Services not elsewhere classified",84,97,5,0,0,"M",0,"M",0,0,0,-23,0,"M",-23,"M",254,0,"M",253,"M",0,750,853,"L","L",84,0,0,750,0,1167,"GF01",2019,1546300800000.0
"GF0107"," Public Debt Transactions",0,0,0,48326,0,"M",26,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,45,45,"L","L",0,0,0,45,0,48371,"GF01",2019,1546300800000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,12909,0,"M",12909,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,12909,"GF01",2019,1546300800000.0
"GF0201"," Military Defence",9730,14181,0,0,0,"M",0,"M",0,0,0,117,0,"M",0,"M",0,0,"M",0,"M",0,17219,40505,"L","L",9696,0,34,17219,0,41247,"GF02",2019,1546300800000.0
"GF0202"," Civil Defence",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,0,"GF02",2019,1546300800000.0
"GF0203"," Foreign Military Aid",16,57,0,0,0,"M",0,"M",0,0,0,3,0,"M",0,"M",0,0,"M",0,"M",0,362,561,"L","L",16,0,0,362,0,438,"GF02",2019,1546300800000.0
"GF0204"," Research and Development Defence",1222,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,940,1631,"L","L",1222,0,0,940,0,2162,"GF02",2019,1546300800000.0
"GF0205"," Defence not elsewhere classified",3,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,226,270,"L","L",3,0,0,226,0,229,"GF02",2019,1546300800000.0
"GF0301"," Police services",415,3836,1,0,0,"M",0,"M",0,0,0,10088,0,"M",10001,"M",201,0,"M",186,"M",0,2802,6156,"L","L",415,0,0,2802,0,17343,"GF03",2019,1546300800000.0
"GF0302"," Fire protection services",45,373,0,0,0,"M",0,"M",0,0,0,12,0,"M",12,"M",2,0,"M",2,"M",0,78,471,"L","L",45,0,0,78,0,510,"GF03",2019,1546300800000.0
"GF0303"," Law Courts",397,3009,0,0,0,"M",0,"M",0,0,0,135,0,"M",88,"M",2,0,"M",0,"M",0,4490,5937,"L","L",397,0,0,4490,0,8033,"GF03",2019,1546300800000.0
"GF0304"," Prisons",112,1774,0,0,0,"M",0,"M",0,0,0,101,0,"M",90,"M",0,0,"M",0,"M",0,2052,3797,"L","L",112,0,0,2052,0,4039,"GF03",2019,1546300800000.0
"GF0305"," Research and Development public order and safety",44,18,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",7,0,"M",0,"M",0,8,45,"L","L",44,0,0,8,0,77,"GF03",2019,1546300800000.0
"GF0306"," Public order and safety not elsewhere classified",174,243,0,0,0,"M",0,"M",0,0,0,2713,0,"M",2704,"M",0,0,"M",0,"M",0,1170,1356,"L","L",192,0,-18,1170,0,4300,"GF03",2019,1546300800000.0
"GF0401"," General economic, commercial and labour affairs",156,2453,4092,0,0,"M",0,"M",0,0,0,834,0,"M",91,"M",2695,0,"M",2341,"M",0,2367,4539,"L","L",160,0,-4,2367,0,12597,"GF04",2019,1546300800000.0
"GF0402"," Agriculture, forestry, fishing and hunting",136,754,170,0,0,"M",0,"M",0,0,0,77,0,"M",44,"M",108,0,"M",14,"M",0,1074,1715,"L","L",134,0,2,1074,0,2319,"GF04",2019,1546300800000.0
"GF0403"," Fuel and Energy",3,95,7589,0,0,"M",0,"M",0,0,0,39,0,"M",7,"M",26,0,"M",7,"M",0,289,335,"L","L",3,0,0,289,0,8041,"GF04",2019,1546300800000.0
