"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",358,3719,0,0,0,"M",0,"M",0,0,0,5579,0,"M",1,"M",-32,0,"M",26,"M",0,3120,6452,"L","L",349,0,9,3592,472,13216,"GF01",1999
"GF0102"," Foreign Economic Aid",41,0,2,0,0,"M",0,"M",0,0,0,921,0,"M",31,"M",577,0,"M",144,"M",0,73,104,"L","L",41,0,0,73,0,1614,"GF01",1999
"GF0103"," General Services",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,190,118,"L","L",0,0,0,190,0,194,"GF01",1999
"GF0104"," Basic Research",48,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,19,28,"L","L",48,0,0,19,0,71,"GF01",1999
"GF0105"," Research and Development General Public Services",14,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,8,11,"L","L",14,0,0,8,0,22,"GF01",1999
"GF0106"," General Public Services not elsewhere classified",0,2,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",10,0,"M",10,"M",0,130,130,"L","L",0,0,0,130,0,142,"GF01",1999
"GF0107"," Public Debt Transactions",0,0,0,27212,0,"M",59,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,-9,-9,"L","L",0,0,0,-9,0,27203,"GF01",1999
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,26245,0,"M",26245,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,26245,"GF01",1999
"GF0201"," Military Defence",5048,8688,0,0,0,"M",0,"M",0,0,0,34,0,"M",0,"M",0,0,"M",0,"M",0,6513,20273,"L","L",5039,0,9,6513,0,20283,"GF02",1999
"GF0202"," Civil Defence",0,1,0,0,0,"M",0,"M",0,0,0,3,0,"M",3,"M",0,0,"M",0,"M",0,6,7,"L","L",0,0,0,6,0,10,"GF02",1999
"GF0203"," Foreign Military Aid",34,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,331,388,"L","L",34,0,0,331,0,365,"GF02",1999
"GF0204"," Research and Development Defence",450,0,0,0,0,"M",0,"M",0,0,0,3,0,"M",0,"M",0,0,"M",0,"M",0,286,495,"L","L",450,0,0,286,0,739,"GF02",1999
"GF0205"," Defence not elsewhere classified",-86,0,0,0,0,"M",0,"M",0,0,0,120,0,"M",0,"M",0,0,"M",0,"M",0,574,763,"L","L",-86,0,0,574,0,608,"GF02",1999
"GF0301"," Police services",232,669,0,0,0,"M",0,"M",0,0,0,4442,0,"M",4433,"M",134,0,"M",78,"M",0,302,1128,"L","L",232,0,0,302,0,5779,"GF03",1999
"GF0302"," Fire protection services",10,63,0,0,0,"M",0,"M",0,0,0,13,0,"M",13,"M",4,0,"M",0,"M",0,35,102,"L","L",10,0,0,35,0,125,"GF03",1999
"GF0303"," Law Courts",101,707,0,0,0,"M",0,"M",0,0,0,344,0,"M",259,"M",42,0,"M",28,"M",0,2552,2965,"L","L",101,0,0,2552,0,3746,"GF03",1999
"GF0304"," Prisons",179,1089,0,0,0,"M",0,"M",0,0,0,61,0,"M",0,"M",0,0,"M",0,"M",0,948,2066,"L","L",179,0,0,948,0,2277,"GF03",1999
"GF0305"," Research and Development public order and safety",46,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,26,24,"L","L",46,0,0,26,0,72,"GF03",1999
"GF0306"," Public order and safety not elsewhere classified",10,128,0,0,0,"M",0,"M",0,0,0,21,0,"M",0,"M",0,0,"M",0,"M",0,168,308,"L","L",10,0,0,168,0,327,"GF03",1999
"GF0401"," General economic, commercial and labour affairs",-158,1206,214,0,0,"M",0,"M",0,0,0,585,0,"M",83,"M",938,0,"M",454,"M",0,999,2121,"L","L",-158,0,0,999,0,3784,"GF04",1999
"GF0402"," Agriculture, forestry, fishing and hunting",307,376,227,0,0,"M",0,"M",0,0,0,37,0,"M",8,"M",22,0,"M",0,"M",0,969,1202,"L","L",107,0,200,969,0,1938,"GF04",1999
"GF0403"," Fuel and Energy",10,11,69,0,0,"M",0,"M",0,0,0,19,0,"M",0,"M",107,0,"M",0,"M",0,93,91,"L","L",10,0,0,93,0,309,"GF04",1999
"GF0404"," Mining, manufacturing and construction",0,11,60,0,0,"M",0,"M",0,0,0,20,0,"M",0,"M",0,0,"M",0,"M",0,87,98,"L","L",0,0,0,87,0,178,"GF04",1999
"GF0405"," Transport",1292,269,1647,0,0,"M",0,"M",0,0,0,486,0,"M",372,"M",1466,0,"M",118,"M",0,1347,2843,"L","L",1350,0,-58,1347,0,6507,"GF04",1999
"GF0406"," Communication",10,0,36,0,0,"M",0,"M",0,0,0,3,0,"M",0,"M",96,0,"M",0,"M",0,92,51,"L","L",10,0,0,92,0,237,"GF04",1999
"GF0407"," Other Industries",0,0,31,0,0,"M",0,"M",0,0,0,3,0,"M",0,"M",0,0,"M",0,"M",0,63,50,"L","L",0,0,0,63,0,97,"GF04",1999
"GF0408"," Research and Development Economic Affairs",532,0,1,0,0,"M",0,"M",0,0,0,-12,0,"M",0,"M",848,0,"M",0,"M",0,211,127,"L","L",532,0,0,211,0,1580,"GF04",1999
"GF0409"," Economic Affairs not elsewhere classified",10,0,0,0,0,"M",0,"M",0,0,0,160,0,"M",1,"M",78,0,"M",28,"M",0,156,155,"L","L",10,0,0,156,0,404,"GF04",1999
"GF0501"," Waste Management",133,0,21,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,352,435,"L","L",133,0,0,352,0,506,"GF05",1999
"GF0502"," Water Waste Management",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,23,"L","L",0,0,0,0,0,0,"GF05",1999
"GF0503"," Pollution Abatement",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",83,0,"M",0,"M",0,98,98,"L","L",0,0,0,98,0,181,"GF05",1999
"GF0504"," Protection of biodiversity and landscape",8,0,0,0,0,"M",0,"M",0,0,0,82,0,"M",37,"M",14,0,"M",0,"M",0,117,101,"L","L",17,0,-9,117,0,221,"GF05",1999
"GF0505"," Research and Development Environmental Protection",118,0,0,0,0,"M",0,"M",0,0,0,2,0,"M",0,"M",60,0,"M",0,"M",0,26,28,"L","L",118,0,0,26,0,206,"GF05",1999
"GF0506"," Environmental Protection not elsewhere classified",86,185,0,0,0,"M",0,"M",0,0,0,18,0,"M",0,"M",52,0,"M",38,"M",0,189,473,"L","L",86,0,0,189,0,530,"GF05",1999
"GF0601"," Housing Development",109,106,783,0,0,"M",0,"M",0,0,0,16,0,"M",3,"M",1251,0,"M",217,"M",0,75,444,"L","L",109,0,0,75,0,2340,"GF06",1999
"GF0602"," Community Development",1,0,24,0,0,"M",0,"M",0,0,0,206,0,"M",157,"M",72,0,"M",58,"M",0,53,72,"L","L",10,0,-9,53,0,356,"GF06",1999
"GF0603"," Water supply",101,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",16,0,"M",0,"M",0,0,54,"L","L",101,0,0,0,0,117,"GF06",1999
"GF0604"," Street Lighting",10,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,10,30,"L","L",10,0,0,10,0,20,"GF06",1999
"GF0605"," Research and Development Housing & Community amenities",6,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,5,6,"L","L",6,0,0,5,0,11,"GF06",1999
"GF0606"," Housing & Community amenities not elsewhere classified",0,0,0,0,0,"M",0,"M",0,0,0,12,0,"M",12,"M",138,0,"M",107,"M",0,6,6,"L","L",0,0,0,6,0,156,"GF06",1999
"GF0701"," Medical Products appliances and equipment",0,0,0,0,0,"M",0,"M",0,5385,5385,0,0,"M",0,"M",0,0,"M",0,"M",0,50,5435,"L","L",0,0,0,50,0,5435,"GF07",1999
"GF0702"," Outpatient Services",34,0,0,0,0,"M",0,"M",0,5211,5211,0,0,"M",0,"M",228,0,"M",0,"M",0,164,5450,"L","L",34,0,0,164,0,5637,"GF07",1999
"GF0703"," Hospital Services",2214,25469,0,0,0,"M",0,"M",0,589,589,1048,0,"M",753,"M",44,0,"M",0,"M",0,10453,38783,"L","L",2357,0,-143,10453,0,39817,"GF07",1999
"GF0704"," Public Health Services",0,0,0,0,0,"M",0,"M",0,107,107,17,0,"M",0,"M",0,0,"M",0,"M",0,6,113,"L","L",0,0,0,6,0,130,"GF07",1999
"GF0705"," Research and Development Health",445,0,0,0,0,"M",0,"M",0,0,0,6,0,"M",0,"M",131,0,"M",0,"M",0,208,129,"L","L",445,0,0,208,0,790,"GF07",1999
"GF0706"," Health not elsewhere classified",0,0,0,0,0,"M",0,"M",0,0,0,372,0,"M",0,"M",14,0,"M",0,"M",0,1,5,"L","L",0,0,0,1,0,387,"GF07",1999
"GF0801"," Recreational & Sporting Services",24,0,0,0,0,"M",0,"M",0,0,0,28,0,"M",0,"M",99,0,"M",10,"M",0,38,31,"L","L",23,0,1,38,0,189,"GF08",1999
"GF0802"," Cultural Services",70,0,26,0,0,"M",0,"M",0,0,0,558,0,"M",39,"M",222,0,"M",38,"M",0,393,240,"L","L",70,0,0,393,0,1269,"GF08",1999
"GF0803"," Broadcasting & Publishing Services",170,935,19,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,1776,2859,"L","L",170,0,0,1776,0,2900,"GF08",1999
"GF0804"," Religious & Other Community Services",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,0,"GF08",1999
"GF0805"," Research and Development Recreation,  Culture & Religion",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,137,"L","L",0,0,0,0,0,0,"GF08",1999
"GF0806"," Recreation, Culture & Religion not elsewhere classified",400,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",325,0,"M",65,"M",0,16,49,"L","L",400,0,0,16,0,741,"GF08",1999
"GF0901"," Pre-primary  & Primary Education",0,192,0,0,0,"M",0,"M",0,0,0,717,0,"M",595,"M",316,0,"M",302,"M",0,118,310,"L","L",0,0,0,118,0,1343,"GF09",1999
"GF0902"," Secondary Education",43,655,0,0,0,"M",0,"M",0,0,0,448,0,"M",53,"M",470,0,"M",457,"M",0,9,673,"L","L",43,0,0,9,0,1625,"GF09",1999
"GF0903"," Post-Secondary Non-Tertiary Education",86,84,0,0,0,"M",0,"M",0,0,0,3774,0,"M",0,"M",74,0,"M",0,"M",0,82,127,"L","L",86,0,0,82,0,4100,"GF09",1999
"GF0904"," Tertiary Education",0,17,0,0,0,"M",0,"M",0,0,0,5070,0,"M",851,"M",295,0,"M",0,"M",0,214,209,"L","L",0,0,0,214,0,5596,"GF09",1999
"GF0905"," Education not Definable by Level",10,41,191,0,0,"M",0,"M",0,0,0,955,0,"M",203,"M",62,0,"M",0,"M",0,828,814,"L","L",10,0,0,828,0,2087,"GF09",1999
"GF0906"," Subsidiary Services to Education",0,41,0,0,0,"M",0,"M",0,0,0,4,0,"M",0,"M",4,0,"M",0,"M",0,94,135,"L","L",0,0,0,94,0,143,"GF09",1999
"GF0907"," Research and Development Education",39,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,26,31,"L","L",39,0,0,26,0,65,"GF09",1999
"GF0908"," Education not elsewhere classified",79,184,0,0,0,"M",0,"M",0,0,0,17546,0,"M",16750,"M",865,0,"M",821,"M",0,304,497,"L","L",79,0,0,304,0,18978,"GF09",1999
"GF1001"," Sickness & Disability",34,436,0,0,0,"M",0,"M",19986,0,19986,478,0,"M",461,"M",0,0,"M",0,"M",0,179,643,"L","L",34,0,0,179,0,21113,"GF10",1999
"GF1002"," Old Age",0,309,0,0,0,"M",0,"M",54226,0,54226,858,0,"M",653,"M",0,0,"M",0,"M",0,0,309,"L","L",0,0,0,0,0,55393,"GF10",1999
"GF1003"," Survivors",0,0,0,0,0,"M",0,"M",1568,0,1568,0,0,"M",0,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,1568,"GF10",1999
"GF1004"," Family & Children",0,227,0,0,0,"M",0,"M",12904,0,12904,6,0,"M",3,"M",0,0,"M",0,"M",0,0,227,"L","L",0,0,0,0,0,13137,"GF10",1999
"GF1005"," Unemployment",0,907,0,0,0,"M",0,"M",3546,0,3546,0,0,"M",0,"M",0,0,"M",0,"M",0,82,974,"L","L",0,0,0,82,0,4535,"GF10",1999
"GF1006"," Housing",10,20,0,0,0,"M",0,"M",1774,0,1774,11909,0,"M",11909,"M",12,0,"M",12,"M",0,72,100,"L","L",10,0,0,72,0,13797,"GF10",1999
"GF1007"," Social Exclusion not elsewhere classified",0,0,0,0,0,"M",0,"M",10383,0,10383,501,0,"M",447,"M",10,0,"M",10,"M",0,82,82,"L","L",0,0,0,82,0,10976,"GF10",1999
"GF1008"," Research and Development Social Protection",10,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,-6,"L","L",10,0,0,0,0,10,"GF10",1999
"GF1009"," Social Protection not elsewhere classified",101,249,0,0,0,"M",0,"M",121,0,121,12,0,"M",9,0,66,0,"M",0,"M",0,1575,2061,"L","L",101,0,0,1575,0,2124,"GF10",1999
