"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",249,4195,9,0,0,"M",0,"M",0,0,0,13386,0,"M",21,"M",1586,0,"M",71,"M",0,3542,6119,"L","L",209,0,40,4760,1218,24185,"GF01",2018
"GF0102"," Foreign Economic Aid",12,213,0,0,0,"M",0,"M",0,0,0,6379,0,"M",0,"M",3724,0,"M",0,"M",0,217,452,"L","L",12,0,0,217,0,10545,"GF01",2018
"GF0103"," General Services",30,345,1,0,0,"M",0,"M",0,0,0,12,0,"M",0,"M",33,0,"M",0,"M",0,379,591,"L","L",34,0,-4,379,0,800,"GF01",2018
"GF0104"," Basic Research",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,23,"L","L",0,0,0,0,0,0,"GF01",2018
"GF0105"," Research and Development General Public Services",138,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",17,0,"M",0,"M",0,81,119,"L","L",138,0,0,81,0,236,"GF01",2018
"GF0106"," General Public Services not elsewhere classified",215,85,4,0,0,"M",0,"M",0,0,0,-8,0,"M",-8,"M",106,0,"M",106,"M",0,465,538,"L","L",215,0,0,465,0,867,"GF01",2018
"GF0107"," Public Debt Transactions",0,0,0,53461,0,"M",18,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,54,54,"L","L",0,0,0,54,0,53515,"GF01",2018
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,12389,0,"M",12389,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,12389,"GF01",2018
"GF0201"," Military Defence",8287,12967,0,0,0,"M",0,"M",0,0,0,172,0,"M",0,"M",0,0,"M",0,"M",0,15351,37154,"L","L",8316,0,-29,15351,0,36777,"GF02",2018
"GF0202"," Civil Defence",1,7,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,11,18,"L","L",1,0,0,11,0,19,"GF02",2018
